sample,wavelength,reflectance
sycamore bark,2050.1,0.3817597
HDPE_bottle,2050.1,7.269377
HetArb_spec,2050.1,0.10921058
Kaolinite,2050.8,0.50557184
Montmorillonite,2050.8,0.5007708
Saponite,2050.8,0.44912815
Hectorite,2050.8,0.41362616
Sepiolite,2050.8,0.43966663
Magnesite,2050.8,0.5866257
Vermiculite,2050.8,0.7559184
Bentonite,2050.8,0.204576
Buddingtonite,2050.8,0.4474951
maple,2050.8,0.15562482
Fresh Pine Needles,2050.8,0.067842506
Brown Pine Needles,2050.8,0.14906487
Dried Green Needles,2050.8,0.16779976
"Oak leaf, scenesced",2050.8,0.32486004
"Oak leaf, one year old",2050.8,0.1632954
CerCis_spec,2050.8,0.17358771
EucGlo_NPV_spec,2050.8,0.46560735
CorSel_NPV_spec,2050.8,0.6704042
HetArb_NPV_spec,2050.8,0.3132367
EucGlo_spec,2050.8,0.14226104
CorSel_spec,2050.8,0.24742502
"Oak leaf, new growth",2050.8,0.15905145
polysterene,2050.8,2.1113477
Pine Bark,2050.8,0.3343469
HDPE_film,2050.8,8.791506
PVC,2050.8,1.063904
sycamore bark,2050.8,0.38134357
HDPE_bottle,2050.8,7.2578216
HetArb_spec,2050.8,0.10942148
Kaolinite,2051.5,0.5053821
Montmorillonite,2051.5,0.50115997
Saponite,2051.5,0.4494127
Hectorite,2051.5,0.41397718
Sepiolite,2051.5,0.4399264
Magnesite,2051.5,0.58673286
Vermiculite,2051.5,0.75611633
Bentonite,2051.5,0.2051018
Buddingtonite,2051.5,0.44764698
maple,2051.5,0.15614869
Fresh Pine Needles,2051.5,0.06797919
Brown Pine Needles,2051.5,0.148627
Dried Green Needles,2051.5,0.16742644
"Oak leaf, scenesced",2051.5,0.32429984
"Oak leaf, one year old",2051.5,0.16357261
CerCis_spec,2051.5,0.17424697
EucGlo_NPV_spec,2051.5,0.4645552
CorSel_NPV_spec,2051.5,0.66854334
HetArb_NPV_spec,2051.5,0.31259242
EucGlo_spec,2051.5,0.14250946
CorSel_spec,2051.5,0.2480675
"Oak leaf, new growth",2051.5,0.15922713
polysterene,2051.5,2.1116734
