Date,cf_200,cf_2000
2020-07-15,0.130229,0.000993
2020-07-18,0.262884,0.003841
2020-07-20,0.165453,0.004435
2020-07-23,0.150333,0.000441
2020-07-25,0.117353,0.002007
2020-07-28,0.616155,0.182911
2020-07-30,0.122331,0.096130
2020-08-02,0.144413,0.003340
2020-08-04,0.441508,0.199577
2020-08-07,0.465473,0.038240
2020-08-09,0.475924,0.054177
2020-08-12,0.120525,0.000430
2020-08-14,0.156380,0.001469
2020-08-17,0.189393,0.001956
2020-08-19,0.141006,0.000807
2020-08-22,0.837505,0.551623
2020-08-24,0.011218,0.000000
2020-08-27,0.538588,0.061700
2020-08-29,0.047314,0.000000
2020-09-01,0.404424,0.039070
2020-09-03,0.183677,0.000297
2020-09-06,0.736066,0.346067
2020-09-08,0.116734,0.000024
2020-09-11,0.427552,0.029519
2020-09-13,0.316346,0.019328
2020-09-16,0.124366,0.000869
2020-09-18,0.377853,0.004099
2020-09-21,0.136781,0.000684
2020-09-23,0.271150,0.003314
2020-09-26,0.125921,0.005544
2020-09-28,0.047749,0.000888
2020-10-01,0.472014,0.072620
2020-10-03,0.230282,0.000823
2020-10-06,0.002388,0.000064
2020-10-08,0.512644,0.146868
2020-10-11,0.661680,0.173494
2020-10-13,0.315518,0.007351
2020-10-16,0.441632,0.049886
2020-10-18,0.488242,0.029099
2020-10-21,0.188309,0.001169
2020-10-23,0.271934,0.011231
2020-10-26,0.262204,0.005211
2020-10-31,0.979685,0.905395
2020-11-02,0.194699,0.001496
2020-11-05,0.003484,0.000000
2020-11-07,0.051724,0.000156
2020-11-10,0.112796,0.000154
2020-11-12,0.311287,0.002075
2020-11-15,0.017486,0.000000
2020-11-17,0.168669,0.004111
2020-11-20,0.090774,0.000116
2020-11-22,0.000000,0.000000
2020-11-25,0.042608,0.000086
2020-11-27,0.000226,0.000000
2020-11-30,0.000216,0.000000
2020-12-02,0.163113,0.003171
2020-12-05,0.126544,0.000721
2020-12-07,0.158234,0.003320
2020-12-10,0.160450,0.004320
2020-12-12,0.256219,0.005405
2020-12-15,0.023297,0.000065
2020-12-17,0.010424,0.000000
2020-12-20,0.104512,0.000051
2020-12-22,0.189301,0.002411
2020-12-25,0.019110,0.000000
2020-12-27,0.016460,0.000005
2020-12-30,0.046609,0.000000
2021-01-01,0.046105,0.000245
2021-01-04,0.210021,0.044128
2021-01-06,0.122116,0.002130
2021-01-09,0.104840,0.000976
2021-01-11,0.133759,0.001847
2021-01-14,0.105689,0.003056
2021-01-16,0.399501,0.018678
2021-01-19,0.146554,0.008322
2021-01-21,0.003852,0.000000
2021-01-24,0.075585,0.000347
2021-01-26,0.012164,0.000000
2021-01-29,0.013885,0.001143
2021-01-31,0.145154,0.002209
2021-02-03,0.035986,0.000053
2021-02-05,0.020994,0.000135
2021-02-08,0.070869,0.000250
2021-02-10,0.000000,0.000000
2021-02-13,0.001040,0.000000
2021-02-15,0.001469,0.000000
2021-02-18,0.066127,0.005000
2021-02-20,0.060060,0.005250
2021-02-23,0.323703,0.002692
2021-02-25,0.024654,0.000233
2021-02-28,0.000065,0.000000
2021-03-02,0.000000,0.000000
2021-03-05,0.040883,0.000145
2021-03-07,0.008453,0.000000
2021-03-10,0.000823,0.000000
2021-03-12,0.000000,0.000000
2021-03-15,0.031288,0.000144
2021-03-17,0.095923,0.000067
2021-03-20,0.026047,0.000023
2021-03-22,0.078229,0.000239
2021-03-25,0.005816,0.000000
2021-03-27,0.280423,0.009389
2021-03-30,0.086073,0.000695
2021-04-01,0.014599,0.000000
2021-04-04,0.088261,0.003352
2021-04-06,0.100943,0.000376
2021-04-09,0.000883,0.000000
2021-04-11,0.001514,0.000000
2021-04-14,0.136518,0.000511
2021-04-16,0.004429,0.000000
2021-04-19,0.047032,0.000247
2021-04-21,0.102597,0.000081
2021-04-24,0.065495,0.001745
2021-04-26,0.013777,0.000000
2021-04-29,0.023006,0.000016
2021-05-01,0.075415,0.000669
2021-05-04,0.000000,0.000000
2021-05-06,0.116594,0.000517
2021-05-09,0.088439,0.000104
2021-05-11,0.000000,0.000000
2021-05-14,0.000000,0.000000
2021-05-16,0.005608,0.000000
2021-05-19,0.165233,0.003074
2021-05-21,0.174104,0.000496
2021-05-24,0.018886,0.000000
2021-05-26,0.173011,0.000335
2021-05-29,0.203490,0.001117
2021-05-31,0.016732,0.000000
2021-06-03,0.009614,0.000000
2021-06-05,0.127969,0.001916
2021-06-08,0.009051,0.000000
2021-06-10,0.000000,0.000000
2021-06-13,0.151154,0.016737
2021-06-15,0.032810,0.000000
2021-06-18,0.090668,0.001382
2021-06-20,0.102712,0.001392
2021-06-23,0.412709,0.010202
2021-06-25,0.049676,0.001247
2021-06-28,0.079312,0.001249
2021-06-30,0.243850,0.008686
2021-07-03,0.002251,0.000000
2021-07-05,0.006936,0.000000
2021-07-08,0.079238,0.000301
2021-07-10,0.087310,0.001578
2021-07-13,0.070254,0.000523
2021-07-15,0.000000,0.000000
2021-07-18,0.048854,0.000143
2021-07-20,0.058579,0.000047
2021-07-23,0.140394,0.002323
2021-07-25,0.314595,0.014016
2021-07-28,0.324772,0.034466
2021-07-30,0.003988,0.000000
2021-08-02,0.227886,0.004388
2021-08-04,0.790961,0.411087
2021-08-07,0.502150,0.186092
2021-08-09,0.278102,0.030668
2021-08-12,0.911289,0.571910
2021-08-14,0.000269,0.000000
2021-08-17,0.811947,0.266515
2021-08-19,0.167598,0.000442
2021-08-22,0.166937,0.000373
2021-08-24,0.076244,0.001059
2021-08-27,0.105478,0.003077
2021-08-29,0.198675,0.002333
2021-09-01,0.406433,0.043727
2021-09-03,0.103893,0.000762
2021-09-06,0.218309,0.001951
2021-09-08,0.396968,0.007360
2021-09-11,0.097136,0.001221
2021-09-13,0.410719,0.041041
2021-09-16,0.552196,0.054035
2021-09-18,0.162328,0.000216
2021-09-21,0.577094,0.087574
2021-09-23,0.135656,0.000426
2021-09-26,0.470822,0.027359
2021-09-28,0.704304,0.217125
2021-10-01,0.346567,0.153708
2021-10-03,0.497679,0.087768
2021-10-06,0.282968,0.018114
2021-10-08,0.123006,0.000044
2021-10-11,0.666733,0.115871
2021-10-13,0.685245,0.155435
2021-10-16,0.942389,0.579597
2021-10-18,0.040003,0.000228
2021-10-23,0.002862,0.000000
2021-10-26,0.105650,0.000045
2021-10-28,0.287863,0.001482
2021-10-31,0.155874,0.000118
2021-11-02,0.003285,0.000000
2021-11-05,0.295924,0.000545
2021-11-07,0.065246,0.000036
2021-11-10,0.023598,0.000036
2021-11-12,0.194723,0.002362
2021-11-15,0.160924,0.000685
2021-11-17,0.041489,0.000406
2021-11-20,0.000000,0.000000
2021-11-22,0.000302,0.000000
2021-11-25,0.258982,0.003868
2021-11-27,0.360797,0.016222
2021-11-30,0.109586,0.000421
2021-12-02,0.012585,0.000000
2021-12-05,0.080406,0.001302
2021-12-07,0.008527,0.000000
2021-12-10,0.061983,0.000039
2021-12-12,0.037084,0.000686
2021-12-15,0.055863,0.000070
2021-12-17,0.027944,0.000677
2021-12-20,0.037627,0.000983
2021-12-22,0.109458,0.000270
2021-12-25,0.000000,0.000000
2021-12-27,0.032479,0.000601
2021-12-30,0.003698,0.000000
