sample,wavelength,reflectance
HDPE bottle,2057.1,0.71996474
Saponite,2057.8,0.45288146
Hectorite,2057.8,0.41595945
Sepiolite,2057.8,0.44208896
Magnesite,2057.8,0.58750135
Vermiculite,2057.8,0.7715375
Maple Leaf,2057.8,0.16137466
"Oak leaf, scenesced",2057.8,0.31953293
"Oak leaf, one year old",2057.8,0.16620684
"Oak leaf, new growth",2057.8,0.16218922
Polysterene,2057.8,0.21246014
HDPE film,2057.8,0.8765494
PVC,2057.8,0.10574963
HDPE bottle,2057.8,0.71984706
Saponite,2058.5,0.4531768
Hectorite,2058.5,0.4161228
Sepiolite,2058.5,0.44226894
Magnesite,2058.5,0.5874264
Vermiculite,2058.5,0.770602
Maple Leaf,2058.5,0.16199146
"Oak leaf, scenesced",2058.5,0.31873018
"Oak leaf, one year old",2058.5,0.16655853
"Oak leaf, new growth",2058.5,0.16257665
Polysterene,2058.5,0.2128375
HDPE film,2058.5,0.8766355
PVC,2058.5,0.10574629
HDPE bottle,2058.5,0.7195782
Saponite,2059.2,0.4535083
Hectorite,2059.2,0.41629696
Sepiolite,2059.2,0.4424893
Magnesite,2059.2,0.5873899
Vermiculite,2059.2,0.76941997
Maple Leaf,2059.2,0.1626258
"Oak leaf, scenesced",2059.2,0.31797242
"Oak leaf, one year old",2059.2,0.1668727
"Oak leaf, new growth",2059.2,0.1627982
Polysterene,2059.2,0.21319444
HDPE film,2059.2,0.8764036
PVC,2059.2,0.10575315
HDPE bottle,2059.2,0.71875215
Saponite,2059.9,0.45381698
Hectorite,2059.9,0.41649184
Sepiolite,2059.9,0.4427319
Magnesite,2059.9,0.58735234
Vermiculite,2059.9,0.76855576
Maple Leaf,2059.9,0.16326486
"Oak leaf, scenesced",2059.9,0.3173456
"Oak leaf, one year old",2059.9,0.16716646
"Oak leaf, new growth",2059.9,0.16295233
Polysterene,2059.9,0.21350589
HDPE film,2059.9,0.8759307
PVC,2059.9,0.10576311
HDPE bottle,2059.9,0.71725993
Saponite,2060.6,0.45407405
Hectorite,2060.6,0.41670212
Sepiolite,2060.6,0.44298857
Magnesite,2060.6,0.5872906
Vermiculite,2060.6,0.7683817
Maple Leaf,2060.6,0.1639011
"Oak leaf, scenesced",2060.6,0.31684527
"Oak leaf, one year old",2060.6,0.16746505
"Oak leaf, new growth",2060.6,0.16309746
Polysterene,2060.6,0.21380014
HDPE film,2060.6,0.8755772
PVC,2060.6,0.10577822
HDPE bottle,2060.6,0.71558113
Saponite,2061.3,0.45428938
Hectorite,2061.3,0.41691968
Sepiolite,2061.3,0.4432437
Magnesite,2061.3,0.58719325
Vermiculite,2061.3,0.7690187
Maple Leaf,2061.3,0.16454871
"Oak leaf, scenesced",2061.3,0.31645516
"Oak leaf, one year old",2061.3,0.16776484
"Oak leaf, new growth",2061.3,0.16331351
Polysterene,2061.3,0.2140935
HDPE film,2061.3,0.875367
PVC,2061.3,0.10579947
HDPE bottle,2061.3,0.71394043
Saponite,2062,0.45450783
Hectorite,2062,0.41715255
Sepiolite,2062,0.44347206
Magnesite,2062,0.5870708
Vermiculite,2062,0.7703262
Maple Leaf,2062,0.16520725
"Oak leaf, scenesced",2062,0.316106
"Oak leaf, one year old",2062,0.16808106
"Oak leaf, new growth",2062,0.16358657
Polysterene,2062,0.2144373
HDPE film,2062,0.8753231
PVC,2062,0.10583664
HDPE bottle,2062,0.71241155
Saponite,2062.7,0.45474195
Hectorite,2062.7,0.41737664
Sepiolite,2062.7,0.44364482
Magnesite,2062.7,0.5869138
Vermiculite,2062.7,0.77192235
Maple Leaf,2062.7,0.16585888
"Oak leaf, scenesced",2062.7,0.31576204
"Oak leaf, one year old",2062.7,0.16841112
"Oak leaf, new growth",2062.7,0.16389145
Polysterene,2062.7,0.21480687
HDPE film,2062.7,0.87511635
PVC,2062.7,0.10588397
HDPE bottle,2062.7,0.7105627
Saponite,2063.4,0.45499805
Hectorite,2063.4,0.4175414
Sepiolite,2063.4,0.44377255
Magnesite,2063.4,0.5867377
Vermiculite,2063.4,0.773382
Maple Leaf,2063.4,0.16647898
"Oak leaf, scenesced",2063.4,0.3153493
"Oak leaf, one year old",2063.4,0.16874336
"Oak leaf, new growth",2063.4,0.16414633
Polysterene,2063.4,0.2151578
HDPE film,2063.4,0.8746297
PVC,2063.4,0.10593835
HDPE bottle,2063.4,0.70823317
Saponite,2064.1,0.45526025
Hectorite,2064.1,0.41760966
Sepiolite,2064.1,0.44389516
Magnesite,2064.1,0.5865631
Vermiculite,2064.1,0.77439004
Maple Leaf,2064.1,0.1670659
"Oak leaf, scenesced",2064.1,0.3148441
"Oak leaf, one year old",2064.1,0.16905677
"Oak leaf, new growth",2064.1,0.16440001
Polysterene,2064.1,0.21543765
HDPE film,2064.1,0.873859
PVC,2064.1,0.1059972
HDPE bottle,2064.1,0.7053681
Saponite,2064.8,0.45551765
Hectorite,2064.8,0.41758558
Sepiolite,2064.8,0.44404554
Magnesite,2064.8,0.5863975
Vermiculite,2064.8,0.77489614
Maple Leaf,2064.8,0.16762936
"Oak leaf, scenesced",2064.8,0.31423247
"Oak leaf, one year old",2064.8,0.16936678
"Oak leaf, new growth",2064.8,0.16465384
Polysterene,2064.8,0.21566749
HDPE film,2064.8,0.8731912
PVC,2064.8,0.10606915
HDPE bottle,2064.8,0.7024149
Saponite,2065.5,0.45574433
Hectorite,2065.5,0.4175147
Sepiolite,2065.5,0.44421777
Magnesite,2065.5,0.58620745
Vermiculite,2065.5,0.7751098
Maple Leaf,2065.5,0.16819608
"Oak leaf, scenesced",2065.5,0.31358296
"Oak leaf, one year old",2065.5,0.16968292
"Oak leaf, new growth",2065.5,0.16498262
Polysterene,2065.5,0.2158554
HDPE film,2065.5,0.8726674
PVC,2065.5,0.10615087
HDPE bottle,2065.5,0.69952216
Saponite,2066.2,0.45593283
Hectorite,2066.2,0.41749567
Sepiolite,2066.2,0.44438905
Magnesite,2066.2,0.5859737
Vermiculite,2066.2,0.7753697
Maple Leaf,2066.2,0.16879258
"Oak leaf, scenesced",2066.2,0.31293967
"Oak leaf, one year old",2066.2,0.17003804
"Oak leaf, new growth",2066.2,0.16538723
Polysterene,2066.2,0.21605396
HDPE film,2066.2,0.8724794
PVC,2066.2,0.10624253
HDPE bottle,2066.2,0.6967826
Saponite,2066.9,0.45606542
Hectorite,2066.9,0.41757935
Sepiolite,2066.9,0.44454002
Magnesite,2066.9,0.5856889
Vermiculite,2066.9,0.7759075
Maple Leaf,2066.9,0.16942689
"Oak leaf, scenesced",2066.9,0.3123664
"Oak leaf, one year old",2066.9,0.17042328
"Oak leaf, new growth",2066.9,0.1658492
Polysterene,2066.9,0.21627986
HDPE film,2066.9,0.8725393
PVC,2066.9,0.10633918
HDPE bottle,2066.9,0.69402175
Saponite,2067.6,0.45614153
Hectorite,2067.6,0.4177361
Sepiolite,2067.6,0.44467628
Magnesite,2067.6,0.585379
Vermiculite,2067.6,0.7767553
Maple Leaf,2067.6,0.17008024
"Oak leaf, scenesced",2067.6,0.31185392
"Oak leaf, one year old",2067.6,0.17081195
"Oak leaf, new growth",2067.6,0.1662686
Polysterene,2067.6,0.21654465
HDPE film,2067.6,0.8727879
PVC,2067.6,0.10644585
HDPE bottle,2067.6,0.69119444
Saponite,2068.3,0.45617485
Hectorite,2068.3,0.41788602
Sepiolite,2068.3,0.4448253
Magnesite,2068.3,0.58507854
Vermiculite,2068.3,0.77768975
Maple Leaf,2068.3,0.17073695
"Oak leaf, scenesced",2068.3,0.31137833
"Oak leaf, one year old",2068.3,0.17114785
"Oak leaf, new growth",2068.3,0.16664158
Polysterene,2068.3,0.21680734
HDPE film,2068.3,0.8729123
PVC,2068.3,0.1065601
HDPE bottle,2068.3,0.68816276
Saponite,2069,0.45620474
Hectorite,2069,0.4180056
Sepiolite,2069,0.44500643
